CustomerID,Lookalikes
C0001,"[('C0072', 0.9987768952588382), ('C0190', 0.9986570128515178), ('C0183', 0.997888611572081)]"
C0002,"[('C0029', 0.9998906529958622), ('C0010', 0.9996066053826445), ('C0142', 0.9975354915923277)]"
C0003,"[('C0125', 0.9991683543016404), ('C0001', 0.9958032792344125), ('C0005', 0.995146186471467)]"
C0004,"[('C0173', 0.9992741842297721), ('C0012', 0.9965426263119812), ('C0124', 0.9963518227026218)]"
C0005,"[('C0112', 0.9998592708958555), ('C0186', 0.9980459599013688), ('C0120', 0.9957493033121506)]"
C0006,"[('C0171', 0.9957133679439155), ('C0115', 0.9949286282199495), ('C0074', 0.9946286419553937)]"
C0007,"[('C0085', 0.9999935078160307), ('C0120', 0.9997639568358302), ('C0050', 0.9959923254926464)]"
C0008,"[('C0109', 0.9967738566864514), ('C0098', 0.9919961120623849), ('C0093', 0.9911523692955455)]"
C0009,"[('C0077', 0.9998716816894867), ('C0083', 0.997604642575368), ('C0010', 0.9893498885438232)]"
C0010,"[('C0029', 0.9999120577582894), ('C0002', 0.9996066053826445), ('C0111', 0.9956863112834976)]"
C0011,"[('C0016', 0.9998312266136868), ('C0064', 0.9992431130774673), ('C0137', 0.9986136076934836)]"
C0012,"[('C0173', 0.9975373023251897), ('C0136', 0.99663805644511), ('C0004', 0.9965426263119812)]"
C0013,"[('C0143', 0.9999931451410498), ('C0046', 0.9994844456423883), ('C0099', 0.9975706345006123)]"
C0014,"[('C0151', 0.9971852576067167), ('C0128', 0.9931284921373538), ('C0097', 0.9895489070767114)]"
C0015,"[('C0095', 0.999038805354095), ('C0144', 0.9987125547196755), ('C0123', 0.9966069636571007)]"
C0016,"[('C0011', 0.9998312266136868), ('C0064', 0.999789123294847), ('C0037', 0.9989323486632851)]"
C0017,"[('C0021', 0.9982755837009091), ('C0101', 0.9975607659440584), ('C0075', 0.9969645232935299)]"
C0018,"[('C0163', 0.9963422345176094), ('C0053', 0.9959463312335296), ('C0023', 0.9953623074571473)]"
C0019,"[('C0189', 0.9890664985813437), ('C0161', 0.9885139878758814), ('C0038', 0.988066911528796)]"
C0020,"[('C0140', 0.9939441995907041), ('C0130', 0.9801236570954784), ('C0085', 0.9773857966698924)]"
